dataset,model,run_id,stage_name,wall_clock_seconds,share_of_profiled_time,rss_start_mb,rss_end_mb,rss_delta_mb,status
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_explicit_feedback_index,0.720128399999794,0.0006965061165250521,186.2421875,192.62109375,6.37890625,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_fit_artifacts,1.4306759999999485,0.0013837457108563482,184.3515625,192.62109375,8.26953125,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_model_config,6.200000007083872e-05,5.99662216820017e-08,184.27734375,184.27734375,0.0,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_rating_metrics,0.2102805000004082,0.0002033826945809559,241.01171875,242.5859375,1.57421875,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_training_indices,1.430616700000428,0.00138368835606743,184.3515625,192.62109375,8.26953125,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_user_history_index,0.7104306999999608,0.0006871265289874536,184.3515625,186.2421875,1.890625,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,fit_model,1025.0877849999997,0.9914619562675512,192.62109375,219.625,27.00390625,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,initialize_model,3.8300000142044155e-05,3.7043649940554697e-08,192.62109375,192.62109375,0.0,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,load_ratings_data,0.7353901999999835,0.0007112672855739565,135.01953125,171.3203125,36.30078125,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,load_test_ratings,2.629999971759389e-05,2.5437284056449557e-08,184.27734375,184.27734375,0.0,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,load_train_ratings,3.100000003541936e-05,2.998311084100085e-08,184.27734375,184.27734375,0.0,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,load_validation_ratings,2.679999988686177e-05,2.5920882781564047e-08,184.27734375,184.27734375,0.0,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,predict_test,0.08901009999954113,8.609031261953377e-05,239.64453125,241.03125,1.38671875,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,predict_train,1.3880110000000059,0.0013424802456122196,219.625,236.51171875,16.88671875,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,predict_validation,0.06929870000021765,6.702550325386422e-05,236.51171875,239.64453125,3.1328125,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_dataset_manifest,0.004791400000158319,4.634228294328289e-06,134.19140625,134.1953125,0.00390625,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_experiment_config,0.028285000000323635,2.7357170618659323e-05,134.09765625,134.19140625,0.09375,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_model_profile,0.00858559999960562,8.303967617114544e-06,134.1953125,134.20703125,0.01171875,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_model_requirements,0.00010889999975915998,1.053277664397812e-07,134.8671875,134.87109375,0.00390625,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_split_cache,1.4239732999999433,0.0013772628787013638,171.3203125,184.27734375,12.95703125,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_split_cache_policy,3.659999993033125e-05,3.5399414627029696e-08,134.3046875,134.3046875,0.0,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,validate_model_config,0.0007332999998652667,7.092456500175861e-07,134.20703125,134.30078125,0.09375,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_config_snapshot,0.058214800000314426,5.630518706457515e-05,134.87890625,135.0078125,0.12890625,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_metrics_json,0.1655401999996684,0.0001601100051471133,242.6328125,242.75,0.1171875,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_performance_profile,0.02832259999922826,2.739353722941709e-05,244.8671875,244.96484375,0.09765625,completed
ml1m,asvdpp,2026-05-06T171503Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_run_manifest,0.3116381999998339,0.00030141557039384075,135.0078125,135.01953125,0.01171875,completed
